"번호","지역","상호","주소","기간","상표","셀프여부","고급휘발유","휘발유","경유","실내등유"
"기준 : 월간(202001~202012)"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2020년 01월","SK에너지","셀프","1802.00","1657.00","1495.00","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2020년 02월","SK에너지","셀프","1795.38","1637.97","1483.97","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2020년 03월","SK에너지","셀프","1741.26","1570.61","1431.13","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2020년 04월","SK에너지","셀프","1617.00","1425.33","1290.00","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2020년 05월","SK에너지","셀프","1565.00","1350.81","1197.74","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2020년 06월","SK에너지","셀프","1616.33","1417.33","1246.33","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2020년 07월","SK에너지","셀프","1635.00","1435.00","1265.00","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2020년 08월","SK에너지","셀프","1635.00","1435.00","1265.00","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2020년 09월","SK에너지","셀프","1635.00","1435.00","1265.00","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2020년 10월","SK에너지","셀프","1635.00","1435.00","1265.00","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2020년 11월","SK에너지","셀프","1635.00","1415.67","1245.67","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2020년 12월","SK에너지","셀프","1662.42","1445.77","1269.84","0.00"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","2020년 01월","GS칼텍스","일반","2289.00","1999.00","1903.65","1358.74"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","2020년 02월","GS칼텍스","일반","2287.48","1997.48","1863.69","1359.00"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","2020년 03월","GS칼텍스","일반","2253.39","1963.39","1806.61","1359.00"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","2020년 04월","GS칼텍스","일반","2156.53","1862.73","1692.00","1359.00"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","2020년 05월","GS칼텍스","일반","2080.55","1790.55","1611.19","1359.00"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","2020년 06월","GS칼텍스","일반","2079.00","1832.33","1652.33","1359.00"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","2020년 07월","GS칼텍스","일반","2079.00","1867.06","1687.06","1359.00"
