"번호","지역","상호","주소","기간","상표","셀프여부","고급휘발유","휘발유","경유","실내등유"
"기준 : 월간(202107~202112)"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2021년 07월","SK에너지","셀프","1921.19","1761.19","1561.19","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2021년 08월","SK에너지","셀프","1918.61","1758.61","1558.61","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2021년 09월","SK에너지","셀프","1909.67","1749.67","1549.67","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2021년 10월","SK에너지","셀프","1978.94","1823.13","1623.13","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2021년 11월","SK에너지","셀프","1986.33","1836.33","1666.33","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2021년 12월","SK에너지","셀프","1901.52","1751.84","1601.52","0.00"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","2021년 07월","GS칼텍스","일반","2346.39","2147.03","1893.03","1359.00"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","2021년 08월","GS칼텍스","일반","2358.00","2158.00","1904.00","1359.00"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","2021년 09월","GS칼텍스","일반","2358.00","2158.00","1904.00","1359.00"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","2021년 10월","GS칼텍스","일반","2409.61","2209.61","1956.26","1414.74"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","2021년 11월","GS칼텍스","일반","2458.00","2258.00","2014.00","1559.00"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","2021년 12월","GS칼텍스","일반","2458.00","2258.00","2014.00","1559.00"
"A0001219","서울 강남구","(주)보성 세곡주유소","서울 강남구  헌릉로 731 (세곡동)","2021년 07월","SK에너지","셀프","0.00","1650.16","1444.55","0.00"
"A0001219","서울 강남구","(주)보성 세곡주유소","서울 강남구  헌릉로 731 (세곡동)","2021년 08월","SK에너지","셀프","0.00","1673.71","1459.00","0.00"
"A0001219","서울 강남구","(주)보성 세곡주유소","서울 강남구  헌릉로 731 (세곡동)","2021년 09월","SK에너지","셀프","0.00","1675.00","1459.00","0.00"
"A0001219","서울 강남구","(주)보성 세곡주유소","서울 강남구  헌릉로 731 (세곡동)","2021년 10월","SK에너지","셀프","0.00","1727.52","1516.42","0.00"
"A0001219","서울 강남구","(주)보성 세곡주유소","서울 강남구  헌릉로 731 (세곡동)","2021년 11월","SK에너지","셀프","0.00","1744.80","1548.33","0.00"
"A0001219","서울 강남구","(주)보성 세곡주유소","서울 강남구  헌릉로 731 (세곡동)","2021년 12월","SK에너지","셀프","0.00","1653.61","1479.87","0.00"
