"번호","지역","상호","주소","기간","상표","셀프여부","고급휘발유","휘발유","경유","실내등유"
"기준 : 월간(202101~202106)"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2021년 01월","SK에너지","셀프","1711.32","1519.26","1318.74","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2021년 02월","SK에너지","셀프","1740.93","1550.36","1360.93","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2021년 03월","SK에너지","셀프","1783.45","1612.84","1423.10","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2021년 04월","SK에너지","셀프","1797.00","1634.00","1444.00","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2021년 05월","SK에너지","셀프","1808.00","1645.52","1454.23","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2021년 06월","SK에너지","셀프","1852.07","1692.33","1492.33","0.00"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","2021년 01월","GS칼텍스","일반","2137.39","1962.03","1708.03","1359.00"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","2021년 02월","GS칼텍스","일반","2164.00","1988.00","1734.00","1359.00"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","2021년 03월","GS칼텍스","일반","2193.19","2018.16","1763.19","1359.00"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","2021년 04월","GS칼텍스","일반","2215.00","2044.33","1790.33","1359.00"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","2021년 05월","GS칼텍스","일반","2238.68","2073.65","1819.65","1359.00"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","2021년 06월","GS칼텍스","일반","2300.30","2114.67","1860.67","1359.00"
"A0001219","서울 강남구","(주)보성 세곡주유소","서울 강남구  헌릉로 731 (세곡동)","2021년 01월","SK에너지","셀프","0.00","1438.87","1238.87","0.00"
"A0001219","서울 강남구","(주)보성 세곡주유소","서울 강남구  헌릉로 731 (세곡동)","2021년 02월","SK에너지","셀프","0.00","1460.64","1260.64","0.00"
"A0001219","서울 강남구","(주)보성 세곡주유소","서울 강남구  헌릉로 731 (세곡동)","2021년 03월","SK에너지","셀프","0.00","1517.65","1316.39","0.00"
"A0001219","서울 강남구","(주)보성 세곡주유소","서울 강남구  헌릉로 731 (세곡동)","2021년 04월","SK에너지","셀프","0.00","1543.00","1343.00","0.00"
"A0001219","서울 강남구","(주)보성 세곡주유소","서울 강남구  헌릉로 731 (세곡동)","2021년 05월","SK에너지","셀프","0.00","1558.68","1358.87","0.00"
"A0001219","서울 강남구","(주)보성 세곡주유소","서울 강남구  헌릉로 731 (세곡동)","2021년 06월","SK에너지","셀프","0.00","1599.67","1399.67","0.00"
