"번호","지역","상호","주소","기간","상표","셀프여부","고급휘발유","휘발유","경유","실내등유"
"A0001213","서울 강남구","(주)중앙에너비스 수서지점","서울 강남구 광평로 202 (수서동)","2019년 09월","SK에너지","셀프","1965.67","1636.67","1467.00","0.00"
"A0001213","서울 강남구","(주)중앙에너비스 수서지점","서울 강남구 광평로 202 (수서동)","2019년 10월","SK에너지","셀프","1975.10","1645.10","1475.10","0.00"
"A0001213","서울 강남구","(주)중앙에너비스 수서지점","서울 강남구 광평로 202 (수서동)","2019년 11월","SK에너지","셀프","1958.33","1628.33","1458.33","0.00"
"A0001213","서울 강남구","(주)중앙에너비스 수서지점","서울 강남구 광평로 202 (수서동)","2019년 12월","SK에너지","셀프","1968.00","1647.35","1477.35","0.00"
"A0009710","서울 강남구","SK논현주유소","서울 강남구 논현로 747 (논현동)","2019년 07월","SK에너지","일반","2098.00","1898.00","1763.00","1350.00"
"A0009710","서울 강남구","SK논현주유소","서울 강남구 논현로 747 (논현동)","2019년 08월","SK에너지","일반","2098.00","1898.00","1763.00","1350.00"
"A0009710","서울 강남구","SK논현주유소","서울 강남구 논현로 747 (논현동)","2019년 09월","SK에너지","일반","2109.97","1909.97","1774.40","1350.00"
"A0009710","서울 강남구","SK논현주유소","서울 강남구 논현로 747 (논현동)","2019년 10월","SK에너지","일반","2148.00","1948.00","1813.00","1350.00"
"A0009710","서울 강남구","SK논현주유소","서울 강남구 논현로 747 (논현동)","2019년 11월","SK에너지","일반","2148.00","1948.00","1813.00","1350.00"
"A0009710","서울 강남구","SK논현주유소","서울 강남구 논현로 747 (논현동)","2019년 12월","SK에너지","일반","2148.00","1948.00","1813.00","1350.00"
"A0010207","서울 강남구","SK서광주유소","서울 강남구 역삼로 142","2019년 07월","SK에너지","셀프","1735.00","1565.00","1435.00","0.00"
"A0010207","서울 강남구","SK서광주유소","서울 강남구 역삼로 142","2019년 08월","SK에너지","셀프","1743.39","1573.39","1443.39","0.00"
"A0010207","서울 강남구","SK서광주유소","서울 강남구 역삼로 142","2019년 09월","SK에너지","셀프","1777.67","1607.67","1473.00","0.00"
"A0010207","서울 강남구","SK서광주유소","서울 강남구 역삼로 142","2019년 10월","SK에너지","셀프","1795.00","1625.00","1485.00","0.00"
"A0010207","서울 강남구","SK서광주유소","서울 강남구 역삼로 142","2019년 11월","SK에너지","셀프","1759.00","1593.00","1453.00","0.00"
"A0010207","서울 강남구","SK서광주유소","서울 강남구 역삼로 142","2019년 12월","SK에너지","셀프","1769.35","1613.71","1464.35","0.00"
"A0010235","서울 강남구","SK에너지(주) 매봉주유소","서울 강남구 언주로 307","2019년 07월","SK에너지","셀프","1814.81","1575.45","1469.00","0.00"
"A0010235","서울 강남구","SK에너지(주) 매봉주유소","서울 강남구 언주로 307","2019년 08월","SK에너지","셀프","1839.65","1599.65","1483.26","0.00"
"A0010235","서울 강남구","SK에너지(주) 매봉주유소","서울 강남구 언주로 307","2019년 09월","SK에너지","셀프","1907.33","1667.33","1549.13","1459.00"
"A0010235","서울 강남구","SK에너지(주) 매봉주유소","서울 강남구 언주로 307","2019년 10월","SK에너지","셀프","1913.58","1692.94","1572.87","0.00"
"A0010235","서울 강남구","SK에너지(주) 매봉주유소","서울 강남구 언주로 307","2019년 11월","SK에너지","셀프","1867.67","1667.67","1540.33","0.00"
"A0010235","서울 강남구","SK에너지(주) 매봉주유소","서울 강남구 언주로 307","2019년 12월","SK에너지","셀프","1879.39","1679.39","1538.10","0.00"
"A0010236","서울 강남구","SK에너지㈜ 진달래주유소","서울 강남구 도곡로 208","2019년 07월","SK에너지","일반","1807.17","1643.83","1537.00","0.00"
"A0010236","서울 강남구","SK에너지㈜ 진달래주유소","서울 강남구 도곡로 208","2019년 08월","SK에너지","일반","1750.42","1589.00","1460.29","0.00"
"A0010236","서울 강남구","SK에너지㈜ 진달래주유소","서울 강남구 도곡로 208","2019년 09월","SK에너지","일반","1762.67","1621.67","1482.50","0.00"
"A0010236","서울 강남구","SK에너지㈜ 진달래주유소","서울 강남구 도곡로 208","2019년 10월","SK에너지","일반","1775.00","1635.00","1495.00","0.00"
"A0010236","서울 강남구","SK에너지㈜ 진달래주유소","서울 강남구 도곡로 208","2019년 11월","SK에너지","일반","1775.00","1635.00","1495.00","0.00"
"A0010236","서울 강남구","SK에너지㈜ 진달래주유소","서울 강남구 도곡로 208","2019년 12월","SK에너지","일반","1775.00","1635.00","1495.90","0.00"
"A0009715","서울 강남구","㈜새서울석유 새서울주유소","서울 강남구 압구정로 154","2019년 07월","현대오일뱅크","일반","1988.97","1754.45","1611.55","0.00"
"A0009715","서울 강남구","㈜새서울석유 새서울주유소","서울 강남구 압구정로 154","2019년 08월","현대오일뱅크","일반","1998.00","1768.00","1598.00","1328.00"
"A0009715","서울 강남구","㈜새서울석유 새서울주유소","서울 강남구 압구정로 154","2019년 09월","현대오일뱅크","일반","2041.00","1813.47","1633.67","0.00"
"A0009715","서울 강남구","㈜새서울석유 새서울주유소","서울 강남구 압구정로 154","2019년 10월","현대오일뱅크","일반","2037.00","1814.84","1649.00","1328.00"
"A0009715","서울 강남구","㈜새서울석유 새서울주유소","서울 강남구 압구정로 154","2019년 11월","현대오일뱅크","일반","2037.00","1798.00","1649.00","1328.00"
"A0009715","서울 강남구","㈜새서울석유 새서울주유소","서울 강남구 압구정로 154","2019년 12월","현대오일뱅크","일반","2038.29","1828.32","1650.29","1328.00"
"A0001171","서울 강남구","갤러리아주유소","서울 강남구 압구정로 426","2019년 07월","SK에너지","일반","2260.61","1989.00","1841.61","0.00"
"A0001171","서울 강남구","갤러리아주유소","서울 강남구 압구정로 426","2019년 08월","SK에너지","일반","2269.00","1989.00","1850.00","0.00"
"A0001171","서울 강남구","갤러리아주유소","서울 강남구 압구정로 426","2019년 09월","SK에너지","일반","2280.33","1994.87","1871.47","0.00"
"A0001171","서울 강남구","갤러리아주유소","서울 강남구 압구정로 426","2019년 10월","SK에너지","일반","2284.00","1996.42","1892.23","1333.00"
"A0001171","서울 강남구","갤러리아주유소","서울 강남구 압구정로 426","2019년 11월","SK에너지","일반","2275.93","1987.23","1874.87","1326.60"
"A0001171","서울 강남구","갤러리아주유소","서울 강남구 압구정로 426","2019년 12월","SK에너지","일반","2283.65","1994.32","1878.32","1325.00"
"A0001176","서울 강남구","경원주유소","서울 강남구 도산대로 428 (청담동)","2019년 07월","S-OIL","일반","2252.97","1984.00","1835.97","0.00"
"A0001176","서울 강남구","경원주유소","서울 강남구 도산대로 428 (청담동)","2019년 08월","S-OIL","일반","2262.00","1984.00","1845.00","0.00"
