"번호","지역","상호","주소","기간","상표","셀프여부","고급휘발유","휘발유","경유","실내등유"
"기준 : 월간(201901~201906)"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2019년 01월","SK에너지","셀프","1673.00","1450.81","1357.90","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2019년 02월","SK에너지","셀프","1671.93","1443.93","1353.57","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2019년 03월","SK에너지","셀프","1667.19","1442.74","1344.35","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2019년 04월","SK에너지","셀프","1703.73","1500.73","1400.73","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2019년 05월","SK에너지","셀프","1785.39","1585.39","1485.39","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2019년 06월","SK에너지","셀프","1785.67","1585.67","1485.67","0.00"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","2019년 01월","GS칼텍스","일반","2153.52","1918.35","1759.65","1279.00"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","2019년 02월","GS칼텍스","일반","2137.93","1897.07","1762.14","1279.00"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","2019년 03월","GS칼텍스","일반","2141.19","1901.19","1762.16","1211.59"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","2019년 04월","GS칼텍스","일반","2217.47","1974.47","1828.27","1331.20"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","2019년 05월","GS칼텍스","일반","2289.97","2005.45","1853.77","1354.35"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","2019년 06월","GS칼텍스","일반","2289.00","1999.00","1867.53","1375.00"
"A0001219","서울 강남구","(주)보성 세곡주유소","서울 강남구  헌릉로 731 (세곡동)","2019년 01월","SK에너지","셀프","0.00","1382.00","1272.81","0.00"
"A0001219","서울 강남구","(주)보성 세곡주유소","서울 강남구  헌릉로 731 (세곡동)","2019년 02월","SK에너지","셀프","0.00","1367.00","1264.00","0.00"
"A0001219","서울 강남구","(주)보성 세곡주유소","서울 강남구  헌릉로 731 (세곡동)","2019년 03월","SK에너지","셀프","0.00","1369.55","1269.00","0.00"
"A0001219","서울 강남구","(주)보성 세곡주유소","서울 강남구  헌릉로 731 (세곡동)","2019년 04월","SK에너지","셀프","0.00","1400.93","1296.00","0.00"
"A0001219","서울 강남구","(주)보성 세곡주유소","서울 강남구  헌릉로 731 (세곡동)","2019년 05월","SK에너지","셀프","0.00","1501.97","1376.32","0.00"
"A0001219","서울 강남구","(주)보성 세곡주유소","서울 강남구  헌릉로 731 (세곡동)","2019년 06월","SK에너지","셀프","0.00","1520.20","1389.20","0.00"
"A0009061","서울 강남구","(주)선진도곡주유소","서울 강남구 도곡로 162 (도곡동)","2019년 01월","S-OIL","일반","0.00","1465.32","1360.32","0.00"
"A0009061","서울 강남구","(주)선진도곡주유소","서울 강남구 도곡로 162 (도곡동)","2019년 02월","S-OIL","일반","0.00","1445.00","1340.00","0.00"
"A0009061","서울 강남구","(주)선진도곡주유소","서울 강남구 도곡로 162 (도곡동)","2019년 03월","S-OIL","일반","0.00","1454.03","1349.03","0.00"
"A0009061","서울 강남구","(주)선진도곡주유소","서울 강남구 도곡로 162 (도곡동)","2019년 04월","S-OIL","일반","0.00","1494.40","1393.07","0.00"
"A0009061","서울 강남구","(주)선진도곡주유소","서울 강남구 도곡로 162 (도곡동)","2019년 05월","S-OIL","일반","0.00","1583.58","1471.97","0.00"
"A0009061","서울 강남구","(주)선진도곡주유소","서울 강남구 도곡로 162 (도곡동)","2019년 06월","S-OIL","일반","0.00","1591.00","1476.33","0.00"
"A0001217","서울 강남구","(주)소모에너지 쎈트럴주유소","서울 강남구 삼성로 335","2019년 01월","GS칼텍스","일반","1911.48","1697.48","1568.81","1170.39"
"A0001217","서울 강남구","(주)소모에너지 쎈트럴주유소","서울 강남구 삼성로 335","2019년 02월","GS칼텍스","일반","1942.96","1728.96","1607.75","1204.93"
"A0001217","서울 강남구","(주)소모에너지 쎈트럴주유소","서울 강남구 삼성로 335","2019년 03월","GS칼텍스","일반","1981.71","1796.84","1649.52","1240.35"
"A0001217","서울 강남구","(주)소모에너지 쎈트럴주유소","서울 강남구 삼성로 335","2019년 04월","GS칼텍스","일반","2018.70","1872.70","1683.40","1265.23"
"A0001217","서울 강남구","(주)소모에너지 쎈트럴주유소","서울 강남구 삼성로 335","2019년 05월","GS칼텍스","일반","2112.84","1974.84","1758.52","1298.55"
"A0001217","서울 강남구","(주)소모에너지 쎈트럴주유소","서울 강남구 삼성로 335","2019년 06월","GS칼텍스","일반","2102.80","1964.80","1744.80","1305.00"
"A0001213","서울 강남구","(주)중앙에너비스 수서지점","서울 강남구 광평로 202 (수서동)","2019년 01월","SK에너지","셀프","1864.77","1463.16","1358.32","0.00"
"A0001213","서울 강남구","(주)중앙에너비스 수서지점","서울 강남구 광평로 202 (수서동)","2019년 02월","SK에너지","셀프","1860.14","1470.14","1360.14","0.00"
"A0001213","서울 강남구","(주)중앙에너비스 수서지점","서울 강남구 광평로 202 (수서동)","2019년 03월","SK에너지","셀프","1876.06","1490.26","1376.06","0.00"
"A0001213","서울 강남구","(주)중앙에너비스 수서지점","서울 강남구 광평로 202 (수서동)","2019년 04월","SK에너지","셀프","1912.33","1551.67","1412.33","0.00"
"A0001213","서울 강남구","(주)중앙에너비스 수서지점","서울 강남구 광평로 202 (수서동)","2019년 05월","SK에너지","셀프","1960.58","1624.77","1467.68","0.00"
"A0001213","서울 강남구","(주)중앙에너비스 수서지점","서울 강남구 광평로 202 (수서동)","2019년 06월","SK에너지","셀프","1932.33","1588.67","1444.67","0.00"
"A0009710","서울 강남구","SK논현주유소","서울 강남구 논현로 747 (논현동)","2019년 01월","SK에너지","일반","1962.52","1762.52","1652.52","1298.00"
"A0009710","서울 강남구","SK논현주유소","서울 강남구 논현로 747 (논현동)","2019년 02월","SK에너지","일반","1948.00","1748.00","1638.00","1298.00"
