"번호","지역","상호","주소","기간","상표","셀프여부","고급휘발유","휘발유","경유","실내등유"
"기준 : 월간(202101~202112)"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2021년 01월","SK에너지","셀프","1711.32","1519.26","1318.74","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2021년 02월","SK에너지","셀프","1740.93","1550.36","1360.93","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2021년 03월","SK에너지","셀프","1783.45","1612.84","1423.10","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2021년 04월","SK에너지","셀프","1797.00","1634.00","1444.00","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2021년 05월","SK에너지","셀프","1808.00","1645.52","1454.23","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2021년 06월","SK에너지","셀프","1852.07","1692.33","1492.33","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2021년 07월","SK에너지","셀프","1921.19","1761.19","1561.19","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2021년 08월","SK에너지","셀프","1918.61","1758.61","1558.61","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2021년 09월","SK에너지","셀프","1909.67","1749.67","1549.67","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2021년 10월","SK에너지","셀프","1978.94","1823.13","1623.13","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2021년 11월","SK에너지","셀프","1986.33","1836.33","1666.33","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2021년 12월","SK에너지","셀프","1901.52","1751.84","1601.52","0.00"
