"번호","지역","상호","주소","기간","상표","셀프여부","고급휘발유","휘발유","경유","실내등유"
"기준 : 월간(201901~201912)"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2019년 01월","SK에너지","셀프","1673.00","1450.81","1357.90","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2019년 02월","SK에너지","셀프","1671.93","1443.93","1353.57","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2019년 03월","SK에너지","셀프","1667.19","1442.74","1344.35","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2019년 04월","SK에너지","셀프","1703.73","1500.73","1400.73","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2019년 05월","SK에너지","셀프","1785.39","1585.39","1485.39","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2019년 06월","SK에너지","셀프","1785.67","1585.67","1485.67","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2019년 07월","SK에너지","셀프","1777.00","1582.81","1482.81","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2019년 08월","SK에너지","셀프","1777.00","1595.00","1495.00","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2019년 09월","SK에너지","셀프","1799.33","1639.67","1511.33","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2019년 10월","SK에너지","셀프","1803.13","1651.13","1504.03","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2019년 11월","SK에너지","셀프","1792.00","1629.33","1495.00","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2019년 12월","SK에너지","셀프","1798.45","1650.97","1495.00","0.00"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","2019년 01월","GS칼텍스","일반","2153.52","1918.35","1759.65","1279.00"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","2019년 02월","GS칼텍스","일반","2137.93","1897.07","1762.14","1279.00"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","2019년 03월","GS칼텍스","일반","2141.19","1901.19","1762.16","1211.59"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","2019년 04월","GS칼텍스","일반","2217.47","1974.47","1828.27","1331.20"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","2019년 05월","GS칼텍스","일반","2289.97","2005.45","1853.77","1354.35"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","2019년 06월","GS칼텍스","일반","2289.00","1999.00","1867.53","1375.00"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","2019년 07월","GS칼텍스","일반","2289.00","1999.00","1869.00","0.00"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","2019년 08월","GS칼텍스","일반","2289.00","1999.00","1881.39","0.00"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","2019년 09월","GS칼텍스","일반","2289.00","1999.00","1898.27","1399.00"
