"번호","지역","상호","주소","기간","상표","셀프여부","LPG"
"기준 : 월간(202101~202112)"
"A0009839","서울 강남구","(주)진양가스","서울 강남구 도곡로 142  (도곡동)","2021년 01월","SK에너지","일반","862.00"
"A0009839","서울 강남구","(주)진양가스","서울 강남구 도곡로 142  (도곡동)","2021년 02월","SK에너지","일반","910.00"
"A0009839","서울 강남구","(주)진양가스","서울 강남구 도곡로 142  (도곡동)","2021년 03월","SK에너지","일반","962.00"
"A0009839","서울 강남구","(주)진양가스","서울 강남구 도곡로 142  (도곡동)","2021년 04월","SK에너지","일반","962.00"
"A0009839","서울 강남구","(주)진양가스","서울 강남구 도곡로 142  (도곡동)","2021년 05월","SK에너지","일반","962.00"
"A0009839","서울 강남구","(주)진양가스","서울 강남구 도곡로 142  (도곡동)","2021년 06월","SK에너지","일반","939.00"
"A0009839","서울 강남구","(주)진양가스","서울 강남구 도곡로 142  (도곡동)","2021년 07월","SK에너지","일반","969.00"
"A0009839","서울 강남구","(주)진양가스","서울 강남구 도곡로 142  (도곡동)","2021년 08월","SK에너지","일반","1016.00"
"A0009839","서울 강남구","(주)진양가스","서울 강남구 도곡로 142  (도곡동)","2021년 09월","SK에너지","일반","1045.00"
"A0009839","서울 강남구","(주)진양가스","서울 강남구 도곡로 142  (도곡동)","2021년 10월","SK에너지","일반","1045.00"
"A0009839","서울 강남구","(주)진양가스","서울 강남구 도곡로 142  (도곡동)","2021년 11월","SK에너지","일반","1116.67"
"A0009839","서울 강남구","(주)진양가스","서울 강남구 도곡로 142  (도곡동)","2021년 12월","SK에너지","일반","1153.00"
"A0001229","서울 강남구","SK행복충전 수서에너지충전소","서울 강남구 밤고개로 127 (자곡동)","2021년 01월","SK가스","일반","858.00"
"A0001201","서울 강남구","남서울가스(주)","서울 강남구 남부순환로3154","2021년 01월","GS칼텍스","일반","858.00"
"A0001201","서울 강남구","남서울가스(주)","서울 강남구 남부순환로3154","2021년 02월","GS칼텍스","일반","910.00"
"A0001201","서울 강남구","남서울가스(주)","서울 강남구 남부순환로3154","2021년 03월","GS칼텍스","일반","962.00"
"A0001201","서울 강남구","남서울가스(주)","서울 강남구 남부순환로3154","2021년 04월","GS칼텍스","일반","962.00"
"A0001201","서울 강남구","남서울가스(주)","서울 강남구 남부순환로3154","2021년 05월","GS칼텍스","일반","962.00"
"A0001201","서울 강남구","남서울가스(주)","서울 강남구 남부순환로3154","2021년 06월","GS칼텍스","일반","938.00"
"A0001201","서울 강남구","남서울가스(주)","서울 강남구 남부순환로3154","2021년 07월","GS칼텍스","일반","968.00"
"A0001201","서울 강남구","남서울가스(주)","서울 강남구 남부순환로3154","2021년 08월","GS칼텍스","일반","1015.00"
"A0001201","서울 강남구","남서울가스(주)","서울 강남구 남부순환로3154","2021년 09월","GS칼텍스","일반","1045.00"
"A0001201","서울 강남구","남서울가스(주)","서울 강남구 남부순환로3154","2021년 10월","GS칼텍스","일반","1045.00"
"A0001201","서울 강남구","남서울가스(주)","서울 강남구 남부순환로3154","2021년 11월","GS칼텍스","일반","1115.67"
"A0001201","서울 강남구","남서울가스(주)","서울 강남구 남부순환로3154","2021년 12월","GS칼텍스","일반","1153.00"
"A0001227","서울 강남구","대치에너지","서울 강남구 남부순환로 3179 (대치동)","2021년 01월","GS칼텍스","일반","857.00"
"A0001227","서울 강남구","대치에너지","서울 강남구 남부순환로 3179 (대치동)","2021년 02월","GS칼텍스","일반","910.00"
"A0001227","서울 강남구","대치에너지","서울 강남구 남부순환로 3179 (대치동)","2021년 02월","현대오일뱅크","일반","910.00"
"A0001227","서울 강남구","대치에너지","서울 강남구 남부순환로 3179 (대치동)","2021년 03월","현대오일뱅크","일반","962.00"
"A0001227","서울 강남구","대치에너지","서울 강남구 남부순환로 3179 (대치동)","2021년 04월","현대오일뱅크","일반","962.00"
"A0001227","서울 강남구","대치에너지","서울 강남구 남부순환로 3179 (대치동)","2021년 05월","현대오일뱅크","일반","962.00"
"A0001227","서울 강남구","대치에너지","서울 강남구 남부순환로 3179 (대치동)","2021년 06월","현대오일뱅크","일반","939.00"
"A0001227","서울 강남구","대치에너지","서울 강남구 남부순환로 3179 (대치동)","2021년 07월","현대오일뱅크","일반","967.00"
"A0001227","서울 강남구","대치에너지","서울 강남구 남부순환로 3179 (대치동)","2021년 08월","현대오일뱅크","일반","1016.00"
"A0001227","서울 강남구","대치에너지","서울 강남구 남부순환로 3179 (대치동)","2021년 09월","현대오일뱅크","일반","1044.00"
"A0001227","서울 강남구","대치에너지","서울 강남구 남부순환로 3179 (대치동)","2021년 10월","현대오일뱅크","일반","1044.00"
"A0001227","서울 강남구","대치에너지","서울 강남구 남부순환로 3179 (대치동)","2021년 11월","현대오일뱅크","일반","1115.67"
"A0001227","서울 강남구","대치에너지","서울 강남구 남부순환로 3179 (대치동)","2021년 12월","현대오일뱅크","일반","1154.00"
