,title,url
51,4대 그룹 인사로 본 내년 사업 키워드…초격차·전기차·ESG·AI,http://www.edaily.co.kr/news/newspath.asp?newsid=04195126625999176
52,[천자 칼럼] 전기차 '충전 난민',https://www.hankyung.com/opinion/article/2020120263431
53,"美·유럽서도 ""친환경車 전환 압박 지나쳐""",https://www.hankyung.com/international/article/2020121849311
54,"롯데글로벌로지스, 친환경 콜드체인 전기화물차 최초 운영",http://www.munhwa.com/news/view.html?no=2020121801072303006001
55,전기차 올라탄 현대차…내년 증시도 `씽씽`,http://news.mk.co.kr/newsRead.php?no=1253473&year=2020
56,탄소배출기업에 `稅폭탄`…친환경기업엔 `기후기금` 지원,http://news.mk.co.kr/newsRead.php?no=1257869&year=2020
57,"포스코, 남미서 전기차 3.7억대분 리튬 대박",http://news.mk.co.kr/newsRead.php?no=1246198&year=2020
58,"""코로나 불황 속 '1톤 전기트럭' 없어서 못 판다""…포터, 전기차 판매 1위 질...",http://www.etnews.com/20201214000137
59,"전기차 충전기 2,000만세대 보급···2차전지·바이오 육성도",https://www.sedaily.com/NewsView/1ZBLC6FP8B
60,양천구의 힘… 전국 첫 ‘가로등에서 전기차 충전’,https://www.seoul.co.kr/news/newsView.php?id=20201203014006&wlog_tag3=naver
61,친환경차 보급 확대·2000만세대에 전기차충전기 공급,http://news.heraldcorp.com/view.php?ud=20201207000702
62,"조명래 환경부 장관 ""2050년까지 집집마다 전기차 충전소""",https://www.hankyung.com/economy/article/202012119613i
63,"""급격한 친환경차 전환 정책, 60년 공든탑 무너뜨릴 수도""",https://www.sedaily.com/NewsView/1ZBM897OND
64,"초고속 1회 충전에 500km 간다…현대차, 전기차 리더 도약",http://news.heraldcorp.com/view.php?ud=20201202000481
65,"""테슬라 고평가? 전기차 통한 로보택시 사업 보면 주가 납득""",http://www.edaily.co.kr/news/newspath.asp?newsid=01305446625998520
66,"""친환경차 막차 타자""… 하이브리드카 구매 몰린다",http://www.fnnews.com/news/202012061755099540
67,친환경차·바이오 끌고 반도체 밀고···코로나 속 빛난 '수출 코리아',https://www.sedaily.com/NewsView/1ZBLB1D45C
68,아우디 e-트론 스포트백55·폭스바겐 ID4···'전기차 전략' 선발 등판,https://www.sedaily.com/NewsView/1ZBOZZSSRB
69,'제조업 르네상스'로 친환경 전환… 탄소가격도 다시 매긴다 [탄소중립 추진전...,http://www.fnnews.com/news/202012071745089850
70,전국 모든 가구에 전기차 충전기 설치… 구체성 결여 ‘실효성 의문’,https://www.seoul.co.kr/news/newsView.php?id=20201208002004&wlog_tag3=naver
71,친환경 열기 식을라…내년 '콘덴싱 보일러' 예산 반토막,http://www.etnews.com/20201207000224
72,전기차 충전기 2000만 가구에 보급,https://www.donga.com/news/article/all/20201208/104333255/1
73,‘ESG 경영’ 최태원 수소시장 첫발… 2025년 친환경수소 28만t 생산,https://www.seoul.co.kr/news/newsView.php?id=20201202022031&wlog_tag3=naver
