미래 기술의 핵심…삼성·LG 인공지능 저변 확대 나서
"아이도트, 국내 인공지능 자궁경부암 판독 서비스 개시"
인공지능 시극 파포스
"KT, EBS와 함께 소프트웨어·인공지능 학습환경 제공을 위한 업무협약 체결"
"제주교육청, 몰도바공화국 교원 대상 인공지능 코딩 교육"
"충남도, 국비 들여 '인공지능 종패 데이터' 구축"
인공지능이 엑스선 영상 판독…결핵·기흉 등 스스로 진단
"DGIST 학부생 창업기업 유니바, 인공지능 학습용 데이터 구축 지원사업 선정"
"KISTI - 쿠웨이트, 데이터·인공지능 캠프 운영...쿠웨이트 청소년 15명 참여"
"수리연, IAAE 국제인공지능&윤리협회, 산업수학 기반 AI 사업 협력"
인공지능의 발전으로 인간은 정말 설 자리를 잃게 될까?
"이글루코퍼레이션, KISA 사이버보안 인공지능 데이터셋 구축 사업 수주"
고독사 없는 구미 만든다...인공지능 활용 예방·관리 시범사업
"비헬씨, 한국인공지능협회와 1차 의료 판매 계약"
"대전AI교육지원체험센터, '인공지능 교육 학생캠프' 운영"
"금융위, 금융 분야 인공지능 활용 활성화 간담회 개최"
"과기정통부, '초고성능컴퓨팅 자원' 인공지능 등 초연결 위한 첫발!...전문센..."
"ETRI, 인공지능 국제표준화 주도한다"
"장성, 고위험 독거노인 위한 '인공지능(AI) 말동무 인형' 지원"
[AI-META 시대 '미래전략'] <22>인공지능 미래 발전과 대응
국방혁신 4.0 윤곽…인공지능 기반 첨단과학기술군
"한국폴리텍대 서울강서 빅데이터과, 빅데이터·인공지능 연수 진행"
인공지능 융합 강의 'AI+X'…국내 최고의 강좌를 개설하다
"식약처, 인공지능 활용해 '고위험 수입식품' 스마트하게 찾는다"
"KT, EBS와 함께 AI 인재 육성...""소프트웨어·인공지능 학습환경 제공을 위한..."
"진천군·KAIST, 인공지능 영재캠프 운영··· KAIST 학생들과 교감 할 수 있..."
"[기업] KT·EBS, 소프트웨어·인공지능 인재 양성 협력"
"포스코그룹, 'AI기술 자문위원회' 신설...인공지능 분야 학계, 산업계 전문가..."
"김소영 부위원장, 인공지능 활용 간담회"
KAIST가 국제 인공지능 반도체 생태계 선도한다
"진천군, KAIST 진천 인공지능 영재캠프 '성료'"
"KT 인공지능 교육서비스 '코디니', EBS 교육플랫폼 '이솦'에 탑재...AI·SW ..."
"조달청, 공공SW사업 발주에 인공지능 도입"
"에듀윌, 인공지능 합격비서 ‘AI 패스’ 만든다"
"카이스트, 인공지능 반도체 생태계를 선도한다"
"KAIST, 인공지능 반도체 '주도'"
KT-EBS '소프트웨어·인공지능 학습환경 제공' MOU
"장성군,인공지능(AI)말동무 인형 지원사업 추진"
김소영 부위원장 '인공지능 활용 간담회 발언'
"진천군, 'KAIST 인공지능 영재캠프' 성료"
詩 쓰는 인공지능 시인 등장
"에듀윌, 인공지능 비서 'AI-Pass' 공개"
"광주광역시의회, 인공지능 전문가 초청 강연 개최"
"KAIST ""인공지능 반도체 생태계 선도"""
인공지능 합격비서가 공무원 수험생에게 합격 진단해주는 에듀윌 'AI-Pass'
"울릉군의료원, 인공지능 뇌출혈 영상기기 설치"
"금융위, 금융분야 인공지능 활용 활성화 및 신뢰확보 방안 발표"
"KAIST, 스마트폰 위 인공지능 연합학습 속도 4.5배 향상 기법 개발"
"전남 장성군, 인공지능(AI) 말동무 인형 지원사업 추진"
"국민은행, 기업여신 심사에 인공지능 도입"
"DL이앤씨, 인공지능·360도 카메라 기반 현장관리 솔루션 도입"
금융위 부위원장 김소영 “금융권 인공지능 활성화 적극 지원하겠다”
"장성군, 인공지능 말동무 인형 지원사업 시범 추진"
"인공지능(AI)이 쓴 시(詩), 사람들 마음 울릴까?"
"KAIST, ""인공지능 반도체 생태계 선도한다....…논문 수 세계 상위권"""
"조달청, 인공지능 기반 공공 SW 사업 발주지원시스템 개통"
'금융분야 인공지능 활성화를 위해'
"김소영 부위원장,금융분야 인공지능 활용 활성화 간담회 개최"
"KAIST, 인공지능 반도체 생태계 '선도'"
"정부, 내년 상반기 '인공지능 가전' 안전 관리 지침 마련"
"DL이앤씨, 인공지능·카메라 기반 현장관리 기술 '디비전' 도입"
인공지능 관련 업계 만난 김소영 부위원장
"AI ARS 상담콜, 인공지능 보이스 적용한 '고객 콜백 예약 기능' 발표"
"금융위원회, 인공지능 활용 간담회"
"KT, EBS와 AI 인재 육성 '맞손'… 소프트웨어·인공지능 학습 제공 MOU 체결 ..."
인공지능 활용 간담회 입장하는 김소영 금융위 부위원장
"KT, 문경 라마다 문경새재 호텔에 '인공지능 서비스' 입힌다"
"인공지능·반도체 두 마리 토끼를 잡은 KAIST, 융합인재 양성 선두 노린다"
금융의 인공지능 활용 관련 발언하는 김소영 금융위 부위원장
"이글루코퍼레이션, KISA 사이버보안 인공지능 데이터셋 구축한다"
"고려대 법학전문대학원, 데이터·인공지능법 전문과정 개설"
"KAIST, 스스로 진화하는 흉부 엑스선 인공지능 진단기술 개발"
인공지능 응용 가전제품 ‘안전관리지침’ 제정
"고려대 로스쿨, '데이터·인공지능법' 전문과정 개설"
"'인공지능 AI 로봇이 관리하는 호텔은 어떨까?' .... KT AI 호텔, 라마다 문경..."
"ETRI, 인공지능 국제표준화 주도"
"장성군, 인공지능 말동무 인형 지원사업 추진"
"정부, 인공지능 가전제품 안전관리 지침 마련 착수…해킹 방지 등 보안기능도"
"투디지트, 인공지능 뉴스 분석 주식정보 서비스 '뉴스샐러드'... 해외상표권 ..."
"진천군-KAIST, 진천 인공지능 영재캠프 운영"
행동을 이해하는 인공지능 기술!
"SKT, 인공지능 서비스 ‘A.’에 TV, 게임기능 추가"
[화요광장] 의료분야의 인공지능의 역할
"한국폴리텍대학 아산캠퍼스, 인공지능·RPA 자격 응용과정 추진"
"포스코그룹, 인공지능 기술 자문위원회 신설"
"KAIST, 스마트폰 위 인공지능 연합학습 속도 4.5배 획기적 향상 기법 개발"
"고려대 법학전문대학원, 데이터·인공지능법 전문과정 국내 최초로 개설"
"한국문화정보원 문화포털, 시 쓰는 인공지능 시아의 시극 ‘파포스’ 소개"
의사처럼 스스로 공부해 X선 영상 판단하는 인공지능 개발
"인공지능이 시집 출간했다!...카카오브레인, 초거대 AI 언어 모델 'KoGPT' 활..."
"진천중, 18일까지 인공지능 마을학교 운영"
"김소영 ""미래 위한 인공지능 개발""…정부, 테스트베드 구축"
"엠비아이솔루션 '상담콜', 인공지능 보이스 적용 '고객 콜백 예약 기능' 오픈"
"""새로운 세상을 여는 모두의 인공지능(AI)교육 학생캠프"" 운영"
"지질자원연, 제2회 지질자원데이터 활용 및 인공지능 경진대회 개최"
"KAIST, 스마트폰 위 인공지능(AI) 연합학습 속도 4.5배 획기적 향상 기법 개발"
"장성군, 독거노인 '인공지능(AI) 말동무 인형' 지원"
장성군 ‘인공지능 말동무 인형 지원사업’ 추진
"포항공대, '인공지능 최고경영자과정' 신설…이달 26일까지 모집"
"TTA, '인공지능 제품‧서비스 신뢰성 확보 컨설팅' 제공"
"식약처 ‘위험예측 기반 검사‧관리 시스템’ 구축 추진…인공지능 활용, 고위..."
