,title,url
0,현대차 '넥쏘' 美 첫 주인은 친환경차 마니아,http://biz.chosun.com/site/data/html_dir/2018/12/30/2018123001929.html?utm_source=naver&utm_medium=original&utm_campaign=biz
1,“새해엔 전기차 전쟁”… 신모델 쏟아진다,http://www.seoul.co.kr/news/newsView.php?id=20181231022002&wlog_tag3=naver
2,현대 수소차 美서 첫 판매… 주인공은 ‘친환경차 마니아’,http://www.fnnews.com/news/201812301635487632
3,SUV에서 스포츠카까지...못 보던 전기차 쏟아진다,http://www.etnews.com/20181226000234
4,"롯데렌터카, 장기렌터 친환경차 '수소전기차'까지 확대",http://news.mt.co.kr/mtview.php?no=2018122710444981129
5,"현대차·한온시스템·LG화학, 수소·전기차 타고 '가속페달'",http://news.hankyung.com/article/2018122348121
6,중대형SUV·수입차·전기차… 올해 잘 나갔다,http://www.munhwa.com/news/view.html?no=2018122801071630115001
7,'부품산업 + 친환경 + 광주형'…자동차산업 살리기 박차 [뉴스+],http://www.segye.com/content/html/2018/12/18/20181218002435.html?OutUrl=naver
8,“전기차 300만대 보급땐 예산 최대 90조 증가”,http://news.donga.com/3/all/20181227/93471885/1
9,"초소형 전기차 ‘트위지’ 생산 공장, 스페인에서 부산으로 이전",http://news.kmib.co.kr/article/view.asp?arcid=0924048261&code=11151400&cp=nv
10,"[우보세]""전기차 충전 공간 텅텅 비었는데…""",http://news.mt.co.kr/mtview.php?no=2018122611472559653
12,친환경차 月 1만대 시대…'아반떼'보다 잘 팔린다,http://news.mt.co.kr/mtview.php?no=2018122614415480191
13,현대기아 친환경차 잘나가네… 누적판매량 100만대 돌파 눈앞,http://www.dt.co.kr/contents.html?article_no=2018121002100932052002&ref=naver
14,[제조업혁신]車부품업계 ‘3.5조+α’ 수혈…친환경차 생산 비중 10%로 확대,http://www.edaily.co.kr/news/newspath.asp?newsid=02587926619439832
15,"車산업, 친환경차로 다시 ‘가속 페달’",http://news.kmib.co.kr/article/view.asp?arcid=0924048201&code=11151400&cp=nv
16,현대차 수소·전기차 엔진 `세계 10대 엔진` 동시 선정,http://news.mk.co.kr/newsRead.php?year=2018&no=781690
17,"[車산업의 미래, 친환경차]수소차-전기차 '투톱'으로 키워야",http://www.etnews.com/20181218000278
18,"전주는 수소차, 부산은 전기차 부품… 제조업 침체 11곳에 신산업 거점",http://www.hankookilbo.com/news/npath/201812181635032495?did=NA
19,"EU, 고강도 CO₂ 규제… 車 업계 친환경 가속 페달",http://www.segye.com/content/html/2018/12/23/20181223001623.html?OutUrl=naver
20,부산 '전기차 트위지' 생산기지로...광주 '에어가전 허브'로 키운다,http://www.sedaily.com/NewsView/1S8IHZA813
